
="",="(1)",="(2)",="(3)",="(4)"
="",="cbar100",="cbar400",="cbar700",="cbar1000"

="gdpgrwth",="-8.998",="-8.287",="-8.042",="-7.877"
="",="(4.876)",="(4.850)",="(4.929)",="(4.986)"

="_cons",="0.200**",="0.234***",="0.269***",="0.294***"
="",="(0.0651)",="(0.0648)",="(0.0653)",="(0.0660)"

="N",="173",="173",="173",="173"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
